user	item	feature_path
40.0	1800026145.0	[76]
40.0	1800119695.0	[76]
45.0	1800233344.0	[156]
45.0	1800067581.0	[156]
46.0	1800230976.0	[80, 157, -158]
46.0	1800020333.0	[80, 157, -158]
46.0	1800025838.0	[80, 157, -158]
46.0	1800018639.0	[-80, 159]
46.0	1800019506.0	[80, 157, -158]
46.0	1800022581.0	[80, 157, -158]
46.0	1800217371.0	[80, 157, -158]
46.0	1800026398.0	[80, 157, -158]
46.0	1800018623.0	[80, 157, -158]
47.0	1800061106.0	[160]
47.0	1800071079.0	[160]
50.0	1800243088.0	[37]
50.0	1802834401.0	[37]
50.0	1800216539.0	[37]
50.0	1800018964.0	[-37, 161]
52.0	1800057561.0	[162]
52.0	1800023786.0	[162]
52.0	1800219620.0	[162]
52.0	1800243949.0	[-162, 163]
55.0	1800019267.0	[11, 164, -165, -166]
55.0	1800192947.0	[11, 164, -165, -166]
55.0	1800353559.0	[11, 164, -165, -166]
55.0	1800025816.0	[11, 164, -165, -166]
55.0	1800172505.0	[11, 164, -165, -166]
56.0	1800243791.0	[46, 45]
56.0	1800249488.0	[46, 45]
56.0	1802832670.0	[46, 45]
56.0	1800232239.0	[46, 45]
56.0	1800019191.0	[46, 45]
56.0	1808405886.0	[-46, 167]
59.0	1800107656.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800019594.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, 177]
59.0	1800212880.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800175507.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, 177]
59.0	1800018710.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, -177, 13, -178, -179]
59.0	1800026231.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, -177, 13, -178, -179]
59.0	1800420000.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, -177, -13, 180, 181]
59.0	1802761123.0	[168, -169, -109, 29, 76]
59.0	1800208166.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800175532.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800076081.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800057265.0	[168, -169, -109, 29, 76]
59.0	1800288820.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, -177, 13, -178, -179]
59.0	1800023863.0	[168, -169, -109, 29, 76]
59.0	1800020664.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800248377.0	[168, -169, -109, -29, -174, -87, -175, -119, 176]
59.0	1800139450.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800030906.0	[168, -169, -109, 29, 76]
59.0	1800023875.0	[168, -169, -109, -29, -174, -87, -175, -119, 176]
59.0	1800353477.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, -177, -13, 180, 181]
59.0	1802816711.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800353483.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800201809.0	[168, -169, -109, 29, 76]
59.0	1800209234.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800024664.0	[168, -169, -109, -29, -174, -87, -175, -119, -176, 177]
59.0	1800174173.0	[168, -169, -109, 29, 76]
59.0	1800023777.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800077675.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800165355.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800019187.0	[168, -169, -109, 29, 76]
59.0	1802822645.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800209781.0	[168, -169, -109, -29, -174, -87, -175, -119, 176]
59.0	1800019191.0	[168, -169, -109, 29, -76, 11, -170, -171, -172, -173]
59.0	1800279802.0	[168, -169, -109, -29, -174, -87, -175, -119, 176]
59.0	1800205053.0	[168, -169, -109, -29, -174, 87, -182, -183]
59.0	1800208766.0	[168, -169, -109, 29, -76, -11, 184]
62.0	1800217371.0	[-26, 185]
62.0	1800359873.0	[-26, -185, -127, -186, -187]
62.0	1800062915.0	[26, -188]
62.0	1800019594.0	[26, -188]
62.0	1800119695.0	[26, -188]
62.0	1800082735.0	[26, -188]
62.0	1800379216.0	[26, -188]
62.0	1800161524.0	[26, -188]
62.0	1800022581.0	[26, -188]
62.0	1800060404.0	[26, -188]
62.0	1800121659.0	[26, -188]
62.0	1800026398.0	[26, -188]
63.0	1800340322.0	[76, -189]
63.0	1800228585.0	[-76, 190]
63.0	1800021290.0	[76, -189]
63.0	1800103151.0	[76, -189]
63.0	1800182293.0	[76, -189]
